date,yr,mn,dy,rmm1,rmm2,ph,amp
8/22/1974,1974,8,22,-7.70E-02,-3.03E-02,1,8.27E-02
8/23/1974,1974,8,23,-0.44893,2.54E-02,8,0.44964299
8/24/1974,1974,8,24,-0.60205001,-3.06E-02,1,0.60282803
8/25/1974,1974,8,25,-0.65280002,9.07E-02,8,0.659073
8/26/1974,1974,8,26,-0.41896999,0.148205,8,0.44441399
8/27/1974,1974,8,27,-0.32314,-9.15E-02,1,0.33583999
8/28/1974,1974,8,28,-0.29387,-0.24602,1,0.38325301
8/29/1974,1974,8,29,-0.43109,-0.19288,1,0.47227401
8/30/1974,1974,8,30,-0.43665001,-0.18707,1,0.47503099
8/31/1974,1974,8,31,-0.55282998,-0.28942999,1,0.62401599
9/1/1974,1974,9,1,-0.74307001,-0.32225999,1,0.80994099
9/2/1974,1974,9,2,-0.75700998,-0.34913,1,0.83363903
9/3/1974,1974,9,3,-0.85425001,-0.47042999,1,0.97522098
9/4/1974,1974,9,4,-0.94621998,-0.57047999,1,1.10489
9/5/1974,1974,9,5,-0.95005,-0.76164001,1,1.21766
9/6/1974,1974,9,6,-0.96430999,-1.19541,2,1.53587
9/7/1974,1974,9,7,-0.82861,-1.49167,2,1.70636
9/8/1974,1974,9,8,-0.80839998,-1.29056,2,1.52284
9/9/1974,1974,9,9,-0.65211999,-1.0919501,2,1.27185
9/10/1974,1974,9,10,-0.41312999,-1.1061701,2,1.1807899
9/11/1974,1974,9,11,-0.56989002,-1.01692,2,1.16572
9/12/1974,1974,9,12,-0.72498,-0.76901001,2,1.05687
9/13/1974,1974,9,13,-0.84693003,-0.41613999,1,0.94363898
9/14/1974,1974,9,14,-0.87629998,-0.19989,1,0.89880598
9/15/1974,1974,9,15,-0.80839998,-0.26515001,1,0.85077298
9/16/1974,1974,9,16,-0.78055,-0.43065,1,0.89147198
9/17/1974,1974,9,17,-1.06102,-0.49926001,1,1.1726201
9/18/1974,1974,9,18,-1.1999,-0.34349999,1,1.2481
9/19/1974,1974,9,19,-1.12629,-0.41894001,1,1.2016799
9/20/1974,1974,9,20,-0.84605998,-0.40851,1,0.93952203
9/21/1974,1974,9,21,-0.81788999,-0.54575998,1,0.98325902
9/22/1974,1974,9,22,-0.67409998,-0.63260001,1,0.92444402
9/23/1974,1974,9,23,-0.62136,-0.52231997,1,0.81173003
9/24/1974,1974,9,24,-0.38978001,-0.43151999,2,0.581496
9/25/1974,1974,9,25,-0.3881,-0.36067,1,0.52981597
9/26/1974,1974,9,26,-0.29288,-0.23269001,1,0.374062
9/27/1974,1974,9,27,-6.47E-02,-0.21548,2,0.22497
9/28/1974,1974,9,28,8.21E-02,-0.39265001,3,0.40114099
9/29/1974,1974,9,29,0.35314399,-0.72869998,3,0.80975801
9/30/1974,1974,9,30,0.55558002,-0.88555002,3,1.0454
10/1/1974,1974,10,1,0.57893199,-0.90973997,3,1.07833
10/2/1974,1974,10,2,0.75894701,-0.95043999,3,1.21628
10/3/1974,1974,10,3,0.896649,-0.58042002,4,1.06812
10/4/1974,1974,10,4,0.673576,-0.38633001,4,0.776501
10/5/1974,1974,10,5,0.63213599,-0.10522,4,0.64083397
10/6/1974,1974,10,6,0.51666898,0.184193,5,0.54852003
10/7/1974,1974,10,7,0.83917898,0.45932499,5,0.956662
10/8/1974,1974,10,8,1.0339299,0.36872,5,1.09771
10/9/1974,1974,10,9,1.26917,0.216249,5,1.28746
10/10/1974,1974,10,10,1.51384,0.19686399,5,1.52659
10/11/1974,1974,10,11,1.6412899,5.41E-02,5,1.64218
10/12/1974,1974,10,12,1.58476,-8.36E-02,4,1.58697
10/13/1974,1974,10,13,1.4619499,-0.20847,4,1.47674
10/14/1974,1974,10,14,1.24914,-0.19396999,4,1.26411
10/15/1974,1974,10,15,1.03918,-0.21719,4,1.06163
10/16/1974,1974,10,16,1.06576,-5.05E-02,4,1.06695
10/17/1974,1974,10,17,1.17822,0.174274,5,1.19104
10/18/1974,1974,10,18,1.20346,0.392461,5,1.26583
10/19/1974,1974,10,19,1.24572,0.535869,5,1.3560801
10/20/1974,1974,10,20,1.28298,0.63932902,5,1.43345
10/21/1974,1974,10,21,1.284,0.73060203,5,1.4773099
10/22/1974,1974,10,22,1.16142,0.790281,5,1.40479
10/23/1974,1974,10,23,0.90081602,0.65329099,5,1.11277
10/24/1974,1974,10,24,0.462304,0.51892698,6,0.69498903
10/25/1974,1974,10,25,8.08E-02,0.56284499,6,0.56861198
10/26/1974,1974,10,26,-0.1288,0.312778,7,0.33825999
10/27/1974,1974,10,27,-0.17058,-0.13217001,1,0.215793
10/28/1974,1974,10,28,-6.46E-02,-0.41755,2,0.42251199
10/29/1974,1974,10,29,1.51E-02,-0.23621,3,0.23669299
10/30/1974,1974,10,30,0.23195,-5.59E-02,4,0.238581
10/31/1974,1974,10,31,0.50510299,2.59E-02,5,0.50576901
11/1/1974,1974,11,1,0.52768499,0.175881,5,0.55622399
11/2/1974,1974,11,2,0.32781199,0.43578401,6,0.54531503
11/3/1974,1974,11,3,0.29864299,0.70565403,6,0.76624799
11/4/1974,1974,11,4,0.45745999,0.55004698,6,0.71541703
11/5/1974,1974,11,5,0.45928001,0.49216101,6,0.67317098
11/6/1974,1974,11,6,0.45422301,0.44554001,5,0.63625801
11/7/1974,1974,11,7,0.66380101,0.57642299,5,0.87914503
11/8/1974,1974,11,8,0.39278501,0.44639799,6,0.59460199
11/9/1974,1974,11,9,0.246518,0.71622503,6,0.75746202
11/10/1974,1974,11,10,-0.14855,0.80252701,7,0.81616002
11/11/1974,1974,11,11,-0.67469001,0.781394,7,1.03237
11/12/1974,1974,11,12,-0.86119998,0.73770899,8,1.13396
